0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
1.033,1.989,2.569,2.978,1.048,2.020,2.584,2.982,1.098,2.017,2.594,2.986,1.096,2.042,2.610,2.990,1.088,2.322,2.972,3.350,1.104,2.332,2.985,3.349,1.113,2.350,2.964,3.377,1.188,2.373,2.989,3.379,1.128,2.931,3.626,3.924,1.216,2.999,3.590,3.953,1.285,2.985,3.621,3.940,1.320,3.005,3.615,3.960,2.947,4.715,4.869,4.864,3.240,4.740,4.839,4.890,3.672,4.776,4.860,4.899,3.295,4.726,4.857,4.882,1.049,2.004,2.585,2.990,1.070,2.016,2.592,2.994,1.081,2.016,2.595,2.992,1.081,2.049,2.605,2.988,1.055,2.326,2.979,3.351,1.083,2.355,2.992,3.362,1.120,2.347,2.997,3.379,1.152,2.365,3.009,3.373,1.107,2.990,3.623,3.965,1.252,3.000,3.640,3.952,1.223,3.004,3.631,3.960,1.253,3.045,3.635,3.956,3.738,4.728,4.911,4.899,4.108,4.851,4.891,4.892,3.599,4.860,4.900,4.896,3.492,4.790,4.889,4.930,1.049,2.011,2.589,2.978,1.057,2.026,2.597,2.995,1.062,2.028,2.603,2.997,1.105,2.038,2.616,2.993,1.065,2.342,2.990,3.377,1.121,2.349,2.995,3.384,1.140,2.371,3.002,3.382,1.188,2.368,3.009,3.394,1.111,2.998,3.634,3.961,1.151,3.010,3.628,3.967,1.289,3.020,3.647,3.986,1.352,3.037,3.639,3.984,3.395,4.920,4.924,4.938,3.824,4.883,4.927,4.931,4.089,4.845,4.951,4.943,3.835,4.824,4.898,4.926,1.046,2.008,2.601,2.985,1.066,2.020,2.602,2.995,1.090,2.045,2.613,2.997,1.105,2.052,2.608,2.996,1.062,2.334,2.993,3.374,1.081,2.362,3.004,3.388,1.120,2.382,3.003,3.402,1.137,2.379,3.014,3.400,1.135,3.000,3.641,3.980,1.272,3.042,3.659,3.981,1.281,3.047,3.667,3.979,1.288,3.057,3.666,3.977,3.830,4.877,4.915,4.930,4.161,4.941,4.952,4.932,4.142,4.899,4.957,4.956,4.710,4.956,4.909,4.956
0.812,1.588,2.186,2.642,1.132,1.745,2.246,2.643,1.400,1.899,2.313,2.666,1.635,2.023,2.363,2.674,0.829,1.839,2.496,2.980,1.297,2.023,2.569,2.982,1.644,2.200,2.618,2.996,1.938,2.346,2.697,2.995,0.878,2.317,3.077,3.532,1.666,2.609,3.167,3.556,2.200,2.811,3.241,3.572,2.574,2.978,3.298,3.583,2.277,4.600,4.795,4.819,4.192,4.734,4.748,4.894,4.555,4.627,4.813,4.800,4.661,4.722,4.796,4.833,0.805,1.676,2.305,2.772,1.118,1.823,2.352,2.767,1.404,1.951,2.411,2.786,1.643,2.085,2.463,2.788,0.855,1.919,2.641,3.108,1.272,2.114,2.689,3.109,1.647,2.286,2.751,3.119,1.949,2.432,2.813,3.131,0.862,2.468,3.235,3.694,1.683,2.723,3.304,3.678,2.214,2.909,3.381,3.708,2.605,3.086,3.427,3.707,2.672,4.670,4.785,4.922,4.583,4.691,4.803,4.902,4.658,4.749,4.816,4.861,4.773,4.864,4.822,4.889,0.826,1.735,2.395,2.881,1.140,1.889,2.449,2.887,1.414,2.022,2.502,2.894,1.633,2.147,2.561,2.899,0.846,2.021,2.751,3.234,1.279,2.202,2.798,3.226,1.653,2.357,2.868,3.245,1.965,2.487,2.916,3.240,0.957,2.624,3.384,3.790,1.681,2.823,3.423,3.810,2.208,3.019,3.504,3.804,2.625,3.160,3.546,3.806,3.118,4.818,4.867,4.928,4.737,4.909,4.906,4.920,4.641,4.875,4.890,4.930,4.859,4.911,4.882,4.907,0.821,1.830,2.498,2.981,1.137,1.964,2.550,2.992,1.418,2.094,2.592,2.990,1.650,2.212,2.635,3.008,0.871,2.121,2.856,3.337,1.321,2.302,2.903,3.344,1.683,2.438,2.970,3.343,1.954,2.559,3.004,3.347,0.936,2.748,3.486,3.913,1.712,2.948,3.540,3.906,2.264,3.116,3.580,3.913,2.656,3.226,3.627,3.914,4.063,4.942,4.967,4.950,4.873,4.959,4.906,4.932,4.905,4.875,4.929,4.958,4.842,4.896,4.960,4.945
0.666,1.281,1.819,2.324,1.151,1.560,1.960,2.343,1.553,1.813,2.078,2.335,1.874,2.018,2.175,2.355,0.679,1.408,2.025,2.524,1.360,1.778,2.182,2.530,1.882,2.083,2.321,2.550,2.250,2.337,2.450,2.565,0.712,1.710,2.446,2.984,1.888,2.284,2.633,2.976,2.553,2.683,2.827,3.022,2.975,2.996,2.981,3.017,2.424,4.092,4.602,4.725,4.553,4.514,4.601,4.679,4.653,4.702,4.582,4.733,4.843,4.710,4.753,4.698,0.664,1.437,2.068,2.589,1.159,1.691,2.170,2.600,1.553,1.920,2.261,2.596,1.877,2.113,2.358,2.613,0.661,1.619,2.295,2.856,1.389,1.948,2.427,2.863,1.892,2.232,2.565,2.864,2.269,2.470,2.663,2.872,0.747,2.027,2.818,3.374,1.901,2.527,2.982,3.369,2.565,2.852,3.128,3.388,2.963,3.120,3.259,3.395,3.329,4.678,4.793,4.879,4.621,4.763,4.759,4.777,4.737,4.849,4.869,4.870,4.851,4.819,4.797,4.904,0.663,1.568,2.261,2.798,1.178,1.814,2.341,2.811,1.564,2.020,2.439,2.812,1.887,2.201,2.517,2.824,0.693,1.802,2.549,3.099,1.391,2.111,2.663,3.095,1.912,2.368,2.752,3.114,2.274,2.570,2.846,3.114,0.785,2.298,3.130,3.638,1.920,2.724,3.247,3.639,2.576,3.021,3.355,3.649,3.013,3.216,3.457,3.649,3.895,4.729,4.874,4.857,4.594,4.855,4.846,4.910,4.845,4.859,4.884,4.909,4.882,4.884,4.884,4.906,0.678,1.701,2.429,2.984,1.174,1.929,2.511,2.985,1.579,2.127,2.599,2.991,1.886,2.296,2.668,3.000,0.700,1.966,2.740,3.300,1.424,2.236,2.850,3.317,1.922,2.469,2.939,3.295,2.282,2.673,3.014,3.310,0.802,2.547,3.342,3.837,1.943,2.879,3.459,3.847,2.601,3.151,3.539,3.835,3.010,3.351,3.602,3.852,4.495,4.920,4.955,4.945,4.905,4.933,4.903,4.911,4.859,4.940,4.927,4.922,4.929,4.947,4.963,4.923
0.563,1.034,1.516,2.014,1.176,1.426,1.708,2.001,1.636,1.745,1.875,2.021,2.001,2.008,2.022,2.030,0.570,1.047,1.542,2.029,1.426,1.591,1.810,2.028,1.995,2.015,2.023,2.053,2.416,2.334,2.223,2.078,0.650,1.082,1.592,2.046,1.994,2.016,2.048,2.076,2.708,2.597,2.397,2.115,3.148,2.981,2.684,2.157,1.350,2.367,2.746,3.599,4.409,4.649,4.282,3.227,4.719,4.752,4.459,3.236,4.778,4.696,4.551,3.454,0.565,1.241,1.857,2.415,1.179,1.593,2.013,2.427,1.650,1.896,2.144,2.435,2.019,2.137,2.279,2.438,0.565,1.357,2.010,2.588,1.447,1.830,2.219,2.596,2.023,2.200,2.395,2.612,2.432,2.476,2.545,2.619,0.614,1.625,2.396,2.978,2.016,2.336,2.683,2.995,2.727,2.802,2.907,3.009,3.174,3.140,3.087,3.028,2.439,4.116,4.523,4.675,4.589,4.616,4.794,4.684,4.721,4.778,4.739,4.666,4.861,4.873,4.840,4.684,0.578,1.449,2.132,2.726,1.191,1.755,2.267,2.739,1.659,2.025,2.384,2.739,2.020,2.249,2.486,2.752,0.613,1.606,2.381,2.986,1.462,2.031,2.547,2.983,2.029,2.353,2.672,2.995,2.435,2.606,2.788,3.000,0.632,2.057,2.887,3.467,2.065,2.611,3.090,3.461,2.758,3.001,3.233,3.483,3.205,3.292,3.372,3.502,2.777,4.681,4.899,4.890,4.750,4.769,4.822,4.876,4.895,4.890,4.891,4.872,4.945,4.886,4.918,4.862,0.565,1.597,2.389,2.981,1.210,1.893,2.490,2.996,1.676,2.150,2.588,2.987,2.028,2.359,2.679,3.000,0.616,1.849,2.679,3.267,1.465,2.204,2.793,3.277,2.048,2.503,2.912,3.272,2.454,2.728,3.011,3.284,0.658,2.389,3.263,3.768,2.101,2.849,3.383,3.789,2.774,3.176,3.506,3.774,3.217,3.417,3.601,3.799,3.392,4.848,4.931,4.971,4.810,4.859,4.905,4.962,4.866,4.933,4.941,4.950,4.954,4.951,4.923,4.950
1.034,1.833,2.287,2.563,1.057,1.921,2.375,2.643,1.083,2.017,2.458,2.733,1.121,2.133,2.574,2.825,1.043,2.082,2.579,2.872,1.110,2.175,2.677,2.955,1.145,2.247,2.754,3.017,1.152,2.365,2.842,3.100,1.131,2.441,2.982,3.266,1.114,2.512,3.028,3.321,1.177,2.578,3.079,3.376,1.268,2.655,3.146,3.402,1.132,3.005,3.507,3.770,1.240,2.985,3.510,3.773,1.266,3.001,3.513,3.755,1.339,3.004,3.510,3.774,1.035,1.854,2.303,2.562,1.071,1.943,2.370,2.656,1.079,2.028,2.474,2.736,1.140,2.134,2.578,2.831,1.081,2.128,2.626,2.918,1.108,2.220,2.703,2.990,1.124,2.301,2.791,3.073,1.187,2.417,2.884,3.154,1.149,2.551,3.086,3.372,1.164,2.643,3.137,3.407,1.227,2.701,3.214,3.461,1.296,2.813,3.283,3.519,1.295,3.300,3.768,3.972,1.290,3.325,3.758,3.961,1.457,3.325,3.775,3.957,1.478,3.353,3.760,3.974,1.034,1.857,2.299,2.572,1.057,1.939,2.381,2.652,1.101,2.023,2.477,2.737,1.119,2.138,2.585,2.829,1.093,2.173,2.663,2.949,1.103,2.266,2.756,3.039,1.156,2.357,2.847,3.109,1.224,2.487,2.946,3.205,1.114,2.675,3.223,3.481,1.153,2.785,3.284,3.537,1.225,2.870,3.342,3.584,1.360,2.990,3.435,3.642,1.527,3.767,4.051,4.181,1.537,3.728,4.075,4.204,1.730,3.781,4.086,4.196,1.913,3.772,4.071,4.204,1.049,1.860,2.300,2.580,1.086,1.953,2.393,2.654,1.078,2.042,2.485,2.738,1.159,2.145,2.591,2.840,1.097,2.222,2.718,2.994,1.107,2.306,2.805,3.077,1.203,2.409,2.907,3.163,1.249,2.533,3.017,3.250,1.121,2.857,3.367,3.576,1.261,2.984,3.441,3.643,1.396,3.067,3.522,3.713,1.573,3.196,3.589,3.781,3.144,4.455,4.457,4.454,4.130,4.394,4.462,4.464,3.961,4.437,4.459,4.451,4.144,4.462,4.448,4.478
0.794,1.519,2.022,2.390,1.130,1.696,2.133,2.457,1.458,1.897,2.254,2.539,1.778,2.111,2.396,2.616,0.794,1.673,2.237,2.638,1.247,1.911,2.361,2.712,1.625,2.118,2.494,2.789,1.984,2.339,2.628,2.859,0.829,1.936,2.564,2.960,1.441,2.199,2.692,3.036,1.880,2.416,2.793,3.082,2.274,2.635,2.914,3.139,0.892,2.396,3.084,3.457,1.746,2.640,3.154,3.482,2.288,2.843,3.206,3.466,2.650,3.013,3.263,3.482,0.807,1.591,2.098,2.469,1.127,1.774,2.214,2.549,1.473,1.957,2.333,2.619,1.789,2.169,2.473,2.713,0.835,1.789,2.371,2.766,1.271,2.036,2.509,2.839,1.686,2.243,2.627,2.911,2.058,2.452,2.764,2.995,0.880,2.158,2.809,3.180,1.526,2.408,2.915,3.228,2.037,2.644,3.009,3.287,2.440,2.849,3.128,3.351,0.956,2.876,3.499,3.767,2.080,3.085,3.557,3.783,2.655,3.254,3.581,3.788,3.017,3.370,3.638,3.809,0.801,1.648,2.189,2.558,1.147,1.831,2.300,2.630,1.456,2.030,2.420,2.694,1.790,2.235,2.548,2.793,0.828,1.925,2.514,2.885,1.312,2.127,2.625,2.961,1.740,2.352,2.758,3.038,2.120,2.574,2.892,3.119,0.894,2.389,3.019,3.381,1.654,2.634,3.108,3.432,2.216,2.866,3.245,3.494,2.634,3.076,3.352,3.546,1.345,3.473,3.929,4.140,2.696,3.638,3.989,4.133,3.278,3.772,3.994,4.150,3.577,3.850,4.013,4.126,0.816,1.722,2.252,2.622,1.136,1.898,2.369,2.692,1.471,2.081,2.483,2.770,1.822,2.283,2.607,2.856,0.855,2.022,2.627,3.007,1.362,2.252,2.750,3.069,1.789,2.469,2.876,3.144,2.205,2.690,3.010,3.229,0.954,2.640,3.243,3.540,1.844,2.896,3.351,3.605,2.422,3.119,3.467,3.679,2.895,3.326,3.587,3.744,3.251,4.371,4.448,4.478,4.338,4.397,4.432,4.455,4.462,4.411,4.461,4.468,4.427,4.459,4.471,4.474
0.651,1.258,1.769,2.205,1.169,1.540,1.910,2.256,1.603,1.823,2.062,2.299,1.992,2.101,2.228,2.373,0.658,1.332,1.903,2.352,1.336,1.710,2.071,2.409,1.840,2.035,2.250,2.466,2.263,2.339,2.427,2.524,0.671,1.486,2.099,2.583,1.567,1.948,2.304,2.626,2.148,2.323,2.497,2.681,2.568,2.632,2.673,2.730,0.756,1.786,2.503,3.002,1.963,2.349,2.690,2.975,2.610,2.704,2.861,3.010,2.962,2.982,2.991,3.022,0.642,1.381,1.940,2.395,1.169,1.662,2.079,2.450,1.621,1.926,2.225,2.509,2.006,2.196,2.389,2.583,0.683,1.536,2.146,2.621,1.375,1.891,2.313,2.682,1.892,2.199,2.475,2.746,2.329,2.478,2.643,2.809,0.690,1.811,2.485,2.954,1.685,2.238,2.685,3.008,2.311,2.589,2.840,3.073,2.751,2.867,3.007,3.137,0.844,2.426,3.148,3.580,2.360,2.882,3.285,3.567,2.976,3.192,3.392,3.573,3.312,3.424,3.489,3.575,0.662,1.494,2.097,2.541,1.176,1.761,2.225,2.595,1.626,2.024,2.365,2.668,2.036,2.273,2.517,2.741,0.679,1.711,2.367,2.829,1.424,2.048,2.515,2.893,1.960,2.356,2.681,2.955,2.398,2.630,2.838,3.041,0.741,2.149,2.836,3.261,1.827,2.535,3.015,3.334,2.516,2.862,3.151,3.393,2.942,3.128,3.288,3.457,1.105,3.294,3.773,4.066,3.002,3.541,3.862,4.039,3.519,3.751,3.937,4.041,3.806,3.880,3.969,4.055,0.664,1.609,2.221,2.662,1.186,1.858,2.351,2.728,1.638,2.115,2.483,2.793,2.044,2.352,2.629,2.874,0.725,1.890,2.568,3.000,1.444,2.220,2.722,3.065,2.036,2.501,2.855,3.133,2.478,2.773,3.015,3.211,0.832,2.458,3.145,3.518,2.072,2.841,3.300,3.575,2.757,3.153,3.435,3.641,3.189,3.405,3.573,3.705,3.262,4.456,4.426,4.460,4.302,4.446,4.475,4.480,4.434,4.436,4.472,4.471,4.432,4.461,4.450,4.463
0.567,1.039,1.521,1.995,1.188,1.419,1.699,2.003,1.689,1.778,1.881,2.019,2.112,2.104,2.082,2.055,0.575,1.048,1.537,2.009,1.378,1.547,1.763,2.017,1.953,1.974,2.001,2.055,2.407,2.333,2.226,2.064,0.582,1.061,1.531,2.027,1.646,1.745,1.877,2.037,2.285,2.256,2.179,2.073,2.725,2.609,2.448,2.113,0.655,1.124,1.630,2.052,2.084,2.073,2.100,2.071,2.756,2.649,2.450,2.136,3.115,2.963,2.729,2.199,0.561,1.225,1.806,2.313,1.196,1.569,1.966,2.341,1.699,1.908,2.138,2.397,2.129,2.205,2.317,2.442,0.597,1.314,1.929,2.467,1.411,1.783,2.141,2.508,2.021,2.165,2.343,2.563,2.475,2.502,2.544,2.613,0.638,1.488,2.176,2.700,1.778,2.085,2.420,2.755,2.446,2.545,2.665,2.793,2.896,2.887,2.875,2.863,0.757,1.905,2.677,3.214,2.490,2.739,2.976,3.235,3.138,3.177,3.203,3.230,3.467,3.419,3.345,3.256,0.573,1.390,2.029,2.529,1.217,1.721,2.174,2.581,1.722,2.022,2.337,2.635,2.141,2.311,2.496,2.701,0.588,1.567,2.257,2.772,1.463,1.992,2.439,2.818,2.081,2.347,2.621,2.891,2.546,2.665,2.803,2.966,0.707,1.918,2.657,3.172,1.948,2.451,2.881,3.209,2.643,2.858,3.065,3.278,3.084,3.167,3.244,3.352,0.959,3.042,3.659,3.962,3.140,3.519,3.766,3.957,3.640,3.747,3.874,3.978,3.904,3.890,3.929,3.973,0.608,1.545,2.209,2.697,1.221,1.855,2.344,2.748,1.727,2.120,2.479,2.807,2.155,2.397,2.640,2.874,0.649,1.794,2.508,2.996,1.519,2.186,2.677,3.048,2.145,2.520,2.845,3.120,2.626,2.814,3.011,3.196,0.743,2.343,3.061,3.491,2.180,2.815,3.251,3.549,2.909,3.188,3.407,3.603,3.310,3.433,3.562,3.672,4.455,4.306,4.403,4.449,4.325,4.405,4.452,4.473,4.467,4.420,4.450,4.457,4.453,4.459,4.453,4.459
1.028,1.714,2.064,2.255,1.079,1.848,2.186,2.357,1.105,2.008,2.337,2.498,1.224,2.244,2.533,2.656,1.063,1.933,2.327,2.550,1.080,2.042,2.442,2.658,1.133,2.172,2.559,2.761,1.254,2.338,2.708,2.885,1.071,2.156,2.637,2.894,1.117,2.238,2.707,2.953,1.145,2.332,2.784,3.019,1.242,2.422,2.858,3.088,1.106,2.454,2.958,3.262,1.136,2.457,2.973,3.263,1.154,2.473,3.001,3.263,1.184,2.487,2.993,3.273,1.035,1.726,2.063,2.259,1.071,1.854,2.184,2.378,1.117,2.021,2.346,2.506,1.259,2.264,2.535,2.671,1.056,1.978,2.388,2.618,1.100,2.095,2.497,2.710,1.154,2.257,2.639,2.827,1.247,2.458,2.794,2.962,1.066,2.326,2.778,3.020,1.119,2.422,2.861,3.089,1.253,2.521,2.945,3.163,1.284,2.652,3.041,3.231,1.173,2.774,3.254,3.501,1.169,2.801,3.268,3.511,1.239,2.787,3.277,3.505,1.233,2.805,3.275,3.508,1.042,1.721,2.054,2.256,1.084,1.861,2.185,2.381,1.119,2.033,2.350,2.506,1.252,2.270,2.552,2.676,1.070,2.038,2.447,2.659,1.102,2.184,2.572,2.779,1.232,2.347,2.727,2.903,1.349,2.586,2.896,3.032,1.134,2.497,2.935,3.167,1.156,2.626,3.033,3.234,1.312,2.766,3.151,3.328,1.477,2.914,3.268,3.409,1.284,3.251,3.631,3.790,1.406,3.262,3.651,3.803,1.379,3.305,3.648,3.785,1.584,3.303,3.653,3.802,1.046,1.729,2.072,2.266,1.069,1.854,2.190,2.380,1.132,2.029,2.355,2.513,1.210,2.288,2.562,2.675,1.080,2.115,2.512,2.716,1.113,2.280,2.648,2.838,1.230,2.477,2.816,2.971,1.478,2.753,3.001,3.118,1.197,2.740,3.164,3.339,1.317,2.936,3.265,3.412,1.601,3.112,3.401,3.520,1.755,3.339,3.537,3.623,3.472,4.153,4.165,4.165,4.095,4.142,4.176,4.164,3.897,4.152,4.159,4.187,3.941,4.144,4.181,4.177
0.806,1.438,1.885,2.190,1.126,1.664,2.017,2.276,1.531,1.922,2.204,2.402,1.994,2.241,2.428,2.563,0.811,1.584,2.073,2.414,1.211,1.815,2.211,2.510,1.624,2.066,2.377,2.605,2.034,2.328,2.555,2.737,0.837,1.760,2.302,2.677,1.327,1.981,2.428,2.733,1.732,2.213,2.540,2.805,2.077,2.409,2.660,2.877,0.830,1.953,2.596,2.977,1.409,2.161,2.652,2.991,1.819,2.330,2.715,2.987,2.113,2.467,2.756,3.004,0.789,1.507,1.946,2.242,1.137,1.721,2.086,2.334,1.538,1.971,2.257,2.461,2.009,2.291,2.483,2.615,0.824,1.704,2.204,2.528,1.273,1.941,2.351,2.624,1.727,2.196,2.525,2.733,2.172,2.491,2.711,2.873,0.886,1.964,2.537,2.885,1.418,2.214,2.663,2.950,1.926,2.441,2.794,3.036,2.310,2.679,2.927,3.107,0.885,2.366,2.974,3.324,1.646,2.565,3.036,3.334,2.123,2.734,3.086,3.353,2.445,2.850,3.134,3.345,0.821,1.572,1.998,2.291,1.143,1.767,2.140,2.385,1.554,2.016,2.315,2.504,2.022,2.333,2.525,2.657,0.824,1.823,2.324,2.629,1.339,2.077,2.485,2.737,1.829,2.344,2.663,2.860,2.322,2.654,2.859,2.997,0.878,2.228,2.806,3.083,1.594,2.517,2.932,3.180,2.200,2.743,3.072,3.258,2.651,3.012,3.218,3.360,1.132,2.996,3.474,3.712,2.175,3.151,3.535,3.728,2.705,3.284,3.551,3.723,3.018,3.392,3.598,3.728,0.825,1.621,2.056,2.339,1.149,1.823,2.194,2.439,1.564,2.075,2.371,2.549,2.054,2.373,2.570,2.707,0.820,1.953,2.465,2.742,1.403,2.232,2.614,2.850,1.953,2.514,2.800,2.973,2.526,2.821,3.013,3.117,1.032,2.592,3.054,3.299,1.919,2.867,3.219,3.396,2.668,3.149,3.376,3.508,3.182,3.415,3.529,3.607,3.412,4.110,4.171,4.159,4.025,4.146,4.176,4.158,4.123,4.180,4.184,4.166,4.137,4.148,4.172,4.162
